team,scorer,assist1,assist2
N.J,J.LANGENBRUNNER,P.ELIAS,S.BROOKBANK
PHI,J.DOWD,R.JONES,K.TIMONEN
PHI,R.JONES,M.KNUBLE,S.UPSHALL
N.J,B.GIONTA,J.MADDEN,M.BRODEUR
PHI,M.KNUBLE,M.RICHARDS,J.CARTER
L.A,K.DALLMAN,A.KOPITAR,
L.A,A.KOPITAR,B.WILLSIE,P.OSULLIVAN
L.A,D.BROWN,M.CAMMALLERI,A.KOPITAR
L.A,R.BLAKE,A.FROLOV,P.OSULLIVAN
ATL,B.HOLIK,I.KOVALCHUK,C.THORBURN
FLA,N.HORTON,D.BOOTH,B.MCLEAN
ATL,M.RECCHI,B.LITTLE,
ATL,B.HOLIK,,
FLA,R.DVORAK,K.KREPS,G.CAMPBELL
WSH,B.LAICH,S.FEDOROV,
T.B,J.HALPERN,M.OUELLET,S.OBRIEN
WSH,M.BRADLEY,T.POTI,J.SCHULTZ
T.B,A.PICARD,V.LECAVALIER,
T.B,M.OUELLET,M.DARCHE,D.BOYLE
WSH,A.SEMIN,S.FEDOROV,
WSH,T.FLEISCHMANN,B.LAICH,M.GREEN
PIT,E.MALKIN,J.RUUTU,G.LARAQUE
NYI,J.VASICEK,B.GUERIN,F.MEYER
PIT,J.RUUTU,,
PIT,G.LARAQUE,J.RUUTU,H.GILL
OTT,J.SPEZZA,,
BUF,M.AFINOGENOV,A.MAIR,D.ROY
BUF,J.HECHT,J.POMINVILLE,D.ROY
OTT,M.FISHER,A.VERMETTE,A.MESZAROS
OTT,M.FISHER,A.VERMETTE,A.MESZAROS
BUF,P.GAUSTAD,D.STAFFORD,A.KOTALIK
DAL,B.MORROW,M.RIBEIRO,M.MODANO
S.J,J.PAVELSKI,P.MARLEAU,C.RIVET
DAL,J.LEHTINEN,M.RIBEIRO,M.MODANO
S.J,J.THORNTON,M.GRIER,P.RISSMILLER
S.J,J.THORNTON,B.CAMPBELL,J.PAVELSKI
NYR,B.SHANAHAN,S.GOMEZ,C.DRURY
N.J,P.ELIAS,P.MARTIN,D.ZUBRUS
N.J,Z.PARISE,,
NYR,C.BACKMAN,S.GOMEZ,C.DRURY
NYR,N.DAWES,C.DRURY,R.CALLAHAN
BOS,M.STURM,D.KREJCI,
TOR,J.TLUSTY,N.ANTROPOV,M.SUNDIN
BOS,P.KESSEL,P.SCHAEFER,S.HNIDY
BOS,G.MURRAY,D.KREJCI,A.WARD
TOR,P.KUBINA,J.BLAKE,V.TOSKALA
BOS,P.SCHAEFER,V.SOBOTKA,P.KESSEL
L.A,P.OSULLIVAN,D.ARMSTRONG,T.PREISSING
ANA,B.RYAN,M.BERGERON,
COL,J.LEOPOLD,R.SALEI,A.BRUNETTE
VAN,D.SEDIN,H.SEDIN,K.BIEKSA
VAN,T.PYATT,H.SEDIN,M.NASLUND
COL,P.STASTNY,M.HEJDUK,P.FORSBERG
COL,C.MCLEOD,J.LILES,
COL,M.HEJDUK,P.STASTNY,P.FORSBERG
COL,B.GUITE,W.WOLSKI,A.BRUNETTE
VAN,S.SALO,A.BURROWS,D.SEDIN
COL,M.HEJDUK,P.STASTNY,P.FORSBERG
MIN,B.RADIVOJEVIC,M.GABORIK,M.KOIVU
MIN,S.HILL,M.KOIVU,B.RADIVOJEVIC
MIN,B.ROLSTON,M.KOIVU,
EDM,F.PISANI,,
CBJ,J.LINDSTROM,C.WILSON,J.NOVOTNY
CBJ,C.WILSON,N.ZHERDEV,M.MALHOTRA
CBJ,D.VYBORNY,,
CBJ,M.PECA,R.KLESLA,R.NASH
PHX,D.MORRIS,D.WINNIK,S.DOAN
PHX,E.LISIN,D.CARCILLO,
PHX,S.DOAN,D.WINNIK,
S.J,J.THORNTON,J.ROENICK,M.VLASIC
S.J,M.VLASIC,P.MARLEAU,J.THORNTON
PHX,S.REINPRECHT,M.TJARNQVIST,C.WELLER
S.J,J.THORNTON,J.ROENICK,M.MICHALEK
S.J,J.THORNTON,C.EHRHOFF,B.CAMPBELL
PHX,M.HANZAL,K.BALLARD,D.MORRIS
DET,H.ZETTERBERG,D.CLEARY,P.DATSYUK
STL,A.MCDONALD,D.KING,
DET,J.FRANZEN,N.LIDSTROM,B.RAFALSKI
T.B,M.OUELLET,J.HALPERN,D.BOYLE
FLA,D.BOOTH,,
T.B,J.HALPERN,M.OUELLET,J.JOKINEN
T.B,F.KUBA,J.HALPERN,
BOS,G.MURRAY,M.LASHOFF,M.LUCIC
BOS,D.KREJCI,M.STURM,M.LASHOFF
BOS,M.STURM,D.KREJCI,A.WARD
TOR,J.BLAKE,P.KUBINA,T.KABERLE
BOS,S.THORNTON,M.LUCIC,
TOR,A.PONIKAROVSKY,K.WELLWOOD,B.MCCABE
BOS,P.KESSEL,G.METROPOLIT,
BOS,J.REICH,P.NOKELAINEN,S.THORNTON
NYR,J.JAGR,M.STRAKA,B.DUBINSKY
PHI,D.BRIERE,V.PROSPAL,J.MODRY
PHI,M.RICHARDS,J.SMITH,
VAN,M.NASLUND,A.EDLER,B.MORRISON
VAN,D.SEDIN,H.SEDIN,W.MITCHELL
CGY,J.IGINLA,D.LANGKOW,W.PRIMEAU
CGY,D.LANGKOW,A.TANGUAY,J.IGINLA
CGY,D.PHANEUF,A.AUCOIN,C.CONROY
