id,team,scorer,assist1,assist2
299,EDM,S.GAGNER,R.NILSSON,A.COGLIANO
300,EDM,Z.STORTINI,T.GILBERT,
301,EDM,A.COGLIANO,E.MOREAU,M.POULIOT
302,EDM,A.HEMSKY,D.PENNER,S.HORCOFF
303,EDM,K.BRODZIAK,J.STRUDWICK,T.GILBERT
304,EDM,D.PENNER,A.HEMSKY,S.HORCOFF
305,EDM,L.REDDOX,T.GILBERT,K.BRODZIAK
306,EDM,S.SOURAY,D.GREBESHKOV,A.HEMSKY
307,EDM,S.GAGNER,L.SMID,R.NILSSON
308,EDM,Z.STORTINI,M.POULIOT,T.GILBERT
309,EDM,D.PENNER,Z.STORTINI,D.GREBESHKOV
310,EDM,M.POULIOT,R.NILSSON,L.SMID
311,EDM,S.SOURAY,R.NILSSON,K.BRODZIAK
312,EDM,E.MOREAU,T.GILBERT,
313,EDM,A.HEMSKY,R.NILSSON,L.VISNOVSKY
314,EDM,A.HEMSKY,D.GREBESHKOV,S.HORCOFF
315,EDM,E.MOREAU,A.COGLIANO,M.POULIOT
316,EDM,L.VISNOVSKY,R.NILSSON,A.COGLIANO
317,EDM,E.COLE,R.NILSSON,D.GREBESHKOV
318,EDM,R.NILSSON,S.SOURAY,T.GILBERT
319,EDM,L.VISNOVSKY,A.HEMSKY,S.HORCOFF
320,EDM,A.HEMSKY,T.GILBERT,
321,EDM,D.GREBESHKOV,A.HEMSKY,T.GILBERT
322,EDM,A.HEMSKY,D.PENNER,L.VISNOVSKY
323,EDM,E.MOREAU,T.GILBERT,A.COGLIANO
324,EDM,A.HEMSKY,D.PENNER,A.COGLIANO
325,EDM,E.MOREAU,T.GILBERT,M.POULIOT
326,EDM,D.PENNER,S.HORCOFF,L.VISNOVSKY
327,EDM,A.HEMSKY,S.STAIOS,L.SMID
328,EDM,E.MOREAU,S.STAIOS,A.COGLIANO
329,EDM,S.STAIOS,E.COLE,S.GAGNER
330,EDM,T.GILBERT,S.SOURAY,M.POULIOT
331,EDM,S.HORCOFF,D.GREBESHKOV,K.BRODZIAK
332,EDM,L.REDDOX,D.PENNER,D.GREBESHKOV
333,EDM,S.MACINTYRE,D.GREBESHKOV,G.BRULE
334,EDM,E.COLE,S.SOURAY,L.VISNOVSKY
335,EDM,G.BRULE,K.BRODZIAK,
336,EDM,E.COLE,K.BRODZIAK,R.POTULNY
337,EDM,E.COLE,T.GILBERT,
338,EDM,G.BRULE,R.POTULNY,S.GAGNER
339,EDM,S.GAGNER,E.COLE,R.POTULNY
340,EDM,D.GREBESHKOV,A.COGLIANO,L.VISNOVSKY
341,EDM,R.NILSSON,A.COGLIANO,S.SOURAY
342,EDM,E.COLE,S.STAIOS,S.HORCOFF
343,EDM,K.BRODZIAK,,
344,EDM,J.STRUDWICK,Z.STORTINI,T.GILBERT
345,EDM,A.COGLIANO,E.MOREAU,M.POULIOT
346,EDM,E.COLE,S.GAGNER,L.VISNOVSKY
347,EDM,S.SOURAY,S.HORCOFF,L.REDDOX
348,EDM,D.PENNER,S.SOURAY,S.HORCOFF
349,EDM,A.COGLIANO,R.NILSSON,S.GAGNER
350,EDM,D.GREBESHKOV,E.COLE,S.GAGNER
351,EDM,R.NILSSON,T.GILBERT,D.GREBESHKOV
352,EDM,L.VISNOVSKY,D.GREBESHKOV,S.GAGNER
353,EDM,E.COLE,T.GILBERT,D.GREBESHKOV
354,EDM,E.MOREAU,S.HORCOFF,
355,EDM,L.REDDOX,S.HORCOFF,D.PENNER
356,EDM,S.SOURAY,L.VISNOVSKY,E.COLE
357,EDM,S.HORCOFF,D.PENNER,S.SOURAY
358,EDM,E.COLE,S.GAGNER,
359,EDM,A.COGLIANO,S.STAIOS,L.SMID
360,EDM,S.GAGNER,E.COLE,L.VISNOVSKY
361,EDM,M.POULIOT,D.PENNER,
362,EDM,S.HORCOFF,A.HEMSKY,L.VISNOVSKY
363,EDM,S.SOURAY,L.VISNOVSKY,A.HEMSKY
364,EDM,Z.STORTINI,J.STRUDWICK,K.BRODZIAK
365,EDM,M.POULIOT,A.COGLIANO,E.MOREAU
366,EDM,S.SOURAY,L.VISNOVSKY,A.HEMSKY
367,EDM,A.COGLIANO,A.HEMSKY,L.VISNOVSKY
368,EDM,K.BRODZIAK,Z.STORTINI,L.VISNOVSKY
369,EDM,E.COLE,M.POULIOT,S.GAGNER
370,EDM,D.PENNER,,
371,EDM,S.GAGNER,A.HEMSKY,R.NILSSON
372,EDM,S.HORCOFF,A.HEMSKY,T.GILBERT
373,EDM,M.POULIOT,L.REDDOX,
374,EDM,D.PENNER,L.VISNOVSKY,D.GREBESHKOV
375,EDM,A.HEMSKY,S.SOURAY,S.HORCOFF
376,EDM,R.NILSSON,A.COGLIANO,
377,EDM,A.HEMSKY,D.PENNER,T.GILBERT
378,EDM,D.PENNER,S.SOURAY,S.HORCOFF
379,EDM,K.BRODZIAK,S.HORCOFF,T.GILBERT
380,EDM,E.MOREAU,E.COLE,D.GREBESHKOV
381,EDM,M.POULIOT,A.COGLIANO,R.SCHREMP
382,EDM,A.COGLIANO,R.SCHREMP,D.GREBESHKOV
383,EDM,D.PENNER,S.HORCOFF,A.HEMSKY
384,EDM,S.HORCOFF,D.PENNER,A.HEMSKY
385,EDM,L.VISNOVSKY,A.COGLIANO,D.PENNER
386,EDM,M.POULIOT,R.SCHREMP,L.VISNOVSKY
387,EDM,A.HEMSKY,,
388,EDM,A.COGLIANO,S.GAGNER,S.SOURAY
389,EDM,A.HEMSKY,S.HORCOFF,S.SOURAY
390,EDM,K.BRODZIAK,S.SOURAY,E.MOREAU
391,EDM,K.BRODZIAK,S.SOURAY,
392,EDM,A.COGLIANO,R.NILSSON,D.GREBESHKOV
393,EDM,S.SOURAY,S.HORCOFF,
394,EDM,D.PENNER,S.HORCOFF,T.GILBERT
395,EDM,S.HORCOFF,D.PENNER,A.HEMSKY
396,EDM,A.HEMSKY,D.PENNER,S.HORCOFF
397,EDM,A.COGLIANO,R.NILSSON,T.GILBERT
398,EDM,L.VISNOVSKY,D.GREBESHKOV,E.COLE
399,EDM,S.SOURAY,L.VISNOVSKY,A.HEMSKY
400,EDM,S.SOURAY,A.HEMSKY,L.VISNOVSKY
401,EDM,A.COGLIANO,S.SOURAY,E.COLE
402,EDM,M.POULIOT,A.COGLIANO,S.HORCOFF
403,EDM,T.GILBERT,S.HORCOFF,A.HEMSKY
404,EDM,D.PENNER,S.GAGNER,J.STRUDWICK
405,EDM,S.HORCOFF,A.HEMSKY,T.GILBERT
406,EDM,L.VISNOVSKY,S.GAGNER,
407,EDM,R.NILSSON,T.GILBERT,S.HORCOFF
408,EDM,L.REDDOX,F.PISANI,A.COGLIANO
409,EDM,S.GAGNER,D.GREBESHKOV,A.HEMSKY
410,EDM,E.MOREAU,A.HEMSKY,D.GREBESHKOV
411,EDM,E.COLE,F.PISANI,S.HORCOFF
412,EDM,K.BRODZIAK,L.VISNOVSKY,S.SOURAY
413,EDM,S.SOURAY,A.HEMSKY,L.VISNOVSKY
414,EDM,A.HEMSKY,L.VISNOVSKY,J.DROUIN-DESLAURIERS
415,EDM,F.PISANI,S.STAIOS,E.MOREAU
416,EDM,T.GILBERT,D.PENNER,E.COLE
417,EDM,A.HEMSKY,,
418,EDM,S.SOURAY,K.BRODZIAK,
419,EDM,A.COGLIANO,R.NILSSON,T.GILBERT
420,EDM,E.MOREAU,F.PISANI,
421,EDM,A.HEMSKY,S.SOURAY,
422,EDM,K.BRODZIAK,M.POULIOT,T.GILBERT
423,EDM,E.COLE,E.MOREAU,J.STRUDWICK
424,EDM,A.HEMSKY,L.SMID,T.GILBERT
425,EDM,A.HEMSKY,T.GILBERT,L.SMID
426,EDM,S.SOURAY,S.GAGNER,T.GILBERT
427,EDM,D.PENNER,S.SOURAY,A.HEMSKY
428,EDM,S.HORCOFF,A.HEMSKY,L.VISNOVSKY
429,EDM,E.MOREAU,,
430,EDM,E.MOREAU,L.VISNOVSKY,S.HORCOFF
431,EDM,S.SOURAY,S.HORCOFF,A.HEMSKY
432,EDM,D.GREBESHKOV,R.NILSSON,A.HEMSKY
433,EDM,R.NILSSON,,
434,EDM,S.STAIOS,S.GAGNER,A.COGLIANO
435,EDM,S.HORCOFF,S.SOURAY,A.HEMSKY
436,EDM,E.MOREAU,M.POULIOT,F.PISANI
437,EDM,F.PISANI,M.POULIOT,E.MOREAU
438,EDM,A.COGLIANO,T.GILBERT,
439,EDM,A.COGLIANO,J.STRUDWICK,
440,EDM,E.COLE,S.SOURAY,A.HEMSKY
441,EDM,L.VISNOVSKY,A.HEMSKY,S.SOURAY
442,EDM,R.NILSSON,D.GREBESHKOV,L.VISNOVSKY
443,EDM,S.HORCOFF,D.GREBESHKOV,
444,EDM,S.SOURAY,R.NILSSON,A.COGLIANO
445,EDM,L.VISNOVSKY,E.COLE,A.HEMSKY
446,EDM,S.HORCOFF,A.HEMSKY,D.GREBESHKOV
447,EDM,D.PENNER,E.MOREAU,D.GREBESHKOV
448,EDM,D.PENNER,E.MOREAU,S.SOURAY
449,EDM,M.COMRIE,P.OSULLIVAN,R.WHITNEY
450,EDM,R.WHITNEY,A.COGLIANO,T.GILBERT
451,EDM,M.COMRIE,T.GILBERT,R.WHITNEY
452,EDM,M.COMRIE,R.WHITNEY,T.GILBERT
453,EDM,T.GILBERT,F.PISANI,R.POTULNY
454,EDM,S.HORCOFF,T.GILBERT,E.MOREAU
455,EDM,D.PENNER,T.GILBERT,
456,EDM,M.COMRIE,P.OSULLIVAN,A.JOHNSON
457,EDM,A.COGLIANO,D.PENNER,
458,EDM,R.WHITNEY,D.PENNER,A.COGLIANO
459,EDM,D.PENNER,T.CHORNEY,R.POTULNY
460,EDM,E.MOREAU,T.GILBERT,S.HORCOFF
461,EDM,E.MOREAU,S.HORCOFF,
462,EDM,D.PENNER,R.POTULNY,T.GILBERT
463,EDM,R.JONES,T.GILBERT,Z.STORTINI
464,EDM,D.PENNER,T.GILBERT,A.COGLIANO
465,EDM,D.PENNER,R.POTULNY,
466,EDM,M.POULIOT,D.PENNER,
467,EDM,E.MOREAU,R.WHITNEY,S.HORCOFF
468,EDM,G.BRULE,T.GILBERT,M.COMRIE
469,EDM,M.COMRIE,M.POULIOT,A.JOHNSON
470,EDM,Z.STORTINI,J.STRUDWICK,S.HORCOFF
471,EDM,T.GILBERT,A.COGLIANO,
